SSID,MatchID,PlayerID,PlayerName,Runs,BallFaced,StrikeRate,6s,Against,Venue,MatchDate
SSID0194,M033,TP0132,Kieron Pollard,14,9,155.55,1,CSK,DY Patil Stadium,21-Apr-22
SSID0195,M056,TP0132,Kieron Pollard,15,16,93.75,1,KKR,DY Patil Stadium,9-May-22
SSID0196,M009,TP0132,Kieron Pollard,22,24,91.66,1,RR,DY Patil Stadium,2-Apr-22
SSID0197,M037,TP0132,Kieron Pollard,19,20,95,1,LSG,Wankhede Stadium,24-Apr-22
SSID0198,M031,TP0111,Krunal Pandya,42,28,150,2,RCB,DY Patil Stadium,19-Apr-22
SSID0199,M015,TP0111,Krunal Pandya,19,14,135.71,1,DC,DY Patil Stadium,7-Apr-22
SSID0200,M062,TP0111,Krunal Pandya,25,23,108.69,1,RR,Brabourne,15-May-22
SSID0201,M045,TP0032,Kuldeep Yadav,16,8,200,1,LSG,Wankhede Stadium,1-May-22
SSID0202,M009,TP0032,Kuldeep Yadav,14,14,100,1,GT,Maharashtra Cricket Association Stadium,2-Apr-22
SSID0203,M034,TP0033,Lalit Yadav,37,24,154.16,2,RR,Wankhede Stadium,22-Apr-22
SSID0204,M002,TP0033,Lalit Yadav,48,38,126.31,2,MI,Brabourne,27-Mar-22
SSID0205,M064,TP0033,Lalit Yadav,24,21,114.28,1,PK,DY Patil Stadium,16-May-22
SSID0206,M009,TP0033,Lalit Yadav,25,22,113.63,1,GT,Maharashtra Cricket Association Stadium,2-Apr-22
SSID0207,M041,TP0033,Lalit Yadav,22,29,75.86,1,KKR,Wankhede Stadium,28-Apr-22
SSID0208,M011,TP0157,Liam Livingstone,60,32,187.5,5,CSK,Brabourne,3-Apr-22
SSID0209,M070,TP0157,Liam Livingstone,49,22,222.72,5,SRH,Wankhede Stadium,22-May-22
SSID0210,M060,TP0157,Liam Livingstone,70,42,166.66,4,RCB,Brabourne,13-May-22
SSID0211,M028,TP0157,Liam Livingstone,60,33,181.81,4,SRH,DY Patil Stadium,17-Apr-22
SSID0212,M016,TP0157,Liam Livingstone,64,27,237.03,4,GT,Brabourne,8-Apr-22
SSID0213,M048,TP0157,Liam Livingstone,30,10,300,3,GT,DY Patil Stadium,3-May-22
SSID0214,M002,TP0157,Liam Livingstone,19,10,190,2,RCB,DY Patil Stadium,27-Mar-22
SSID0215,M042,TP0157,Liam Livingstone,18,16,112.5,2,LSG,Maharashtra Cricket Association Stadium,29-Apr-22
SSID0216,M052,TP0157,Liam Livingstone,22,14,157.14,2,RR,Wankhede Stadium,7-May-22
SSID0217,M038,TP0157,Liam Livingstone,19,7,271.42,2,CSK,Wankhede Stadium,25-Apr-22
SSID0218,M008,TP0157,Liam Livingstone,19,16,118.75,1,KKR,Wankhede Stadium,1-Apr-22
SSID0219,M049,TP0011,Maheesh Theekshana,7,4,175,1,RCB,Maharashtra Cricket Association Stadium,4-May-22
SSID0220,M049,TP0210,Mahipal Lomror,42,27,155.55,2,CSK,Maharashtra Cricket Association Stadium,4-May-22
SSID0221,M043,TP0210,Mahipal Lomror,16,8,200,1,GT,Brabourne,30-Apr-22
SSID0222,M060,TP0210,Mahipal Lomror,6,3,200,1,PK,Brabourne,13-May-22
SSID0223,M072,TP0113,Manan Vohra,19,11,172.72,2,RCB,Eden Gardens,25-May-22
SSID0224,M012,TP0114,Manish Pandey,11,10,110,1,SRH,DY Patil Stadium,4-Apr-22
SSID0225,M037,TP0114,Manish Pandey,22,22,100,1,MI,Wankhede Stadium,24-Apr-22
SSID0226,M040,TP0227,Marco Jansen,8,5,160,1,GT,Wankhede Stadium,27-Apr-22
SSID0227,M019,TP0243,Marcus Stoinis,38,17,223.52,4,RR,Wankhede Stadium,10-Apr-22
SSID0228,M052,TP0243,Marcus Stoinis,28,14,200,3,KKR,Maharashtra Cricket Association Stadium,7-May-22
SSID0229,M062,TP0243,Marcus Stoinis,27,17,158.82,2,RR,Brabourne,15-May-22
SSID0230,M045,TP0243,Marcus Stoinis,17,16,106.25,1,DC,Wankhede Stadium,1-May-22
SSID0231,M031,TP0243,Marcus Stoinis,24,15,160,1,RCB,DY Patil Stadium,19-Apr-22
SSID0232,M026,TP0243,Marcus Stoinis,10,9,111.11,1,MI,Brabourne,16-Apr-22
SSID0233,M072,TP0243,Marcus Stoinis,9,9,100,1,RCB,Eden Gardens,25-May-22
SSID0234,M074,TP0061,Matthew Wade,8,10,80,1,RR,Narendra Modi Stadium,29-May-22
SSID0235,M067,TP0061,Matthew Wade,16,13,123.07,1,RCB,Wankhede Stadium,19-May-22
SSID0236,M002,TP0158,Mayank Agarwal,32,24,133.33,2,RCB,DY Patil Stadium,27-Mar-22
SSID0237,M042,TP0158,Mayank Agarwal,25,17,147.05,2,LSG,Maharashtra Cricket Association Stadium,29-Apr-22
SSID0238,M023,TP0158,Mayank Agarwal,52,32,162.5,2,MI,Maharashtra Cricket Association Stadium,13-Apr-22
SSID0239,M058,TP0036,Mitchell Marsh,89,62,143.54,7,RR,DY Patil Stadium,11-May-22
SSID0240,M045,TP0036,Mitchell Marsh,37,20,185,3,LSG,Wankhede Stadium,1-May-22
SSID0241,M064,TP0036,Mitchell Marsh,63,48,131.25,3,PK,DY Patil Stadium,16-May-22
SSID0242,M054,TP0036,Mitchell Marsh,25,20,125,1,CSK,DY Patil Stadium,8-May-22
SSID0243,M068,TP0242,Moeen Ali,93,57,163.15,3,RR,Brabourne,20-May-22
SSID0244,M017,TP0242,Moeen Ali,48,35,137.14,2,SRH,DY Patil Stadium,9-Apr-22
SSID0245,M062,TP0242,Moeen Ali,21,17,123.52,2,GT,Wankhede Stadium,15-May-22
SSID0246,M007,TP0242,Moeen Ali,35,22,159.09,2,LSG,Brabourne,31-Mar-22
SSID0247,M049,TP0242,Moeen Ali,34,27,125.92,2,RCB,Maharashtra Cricket Association Stadium,4-May-22
SSID0248,M042,TP0117,Mohsin Khan,13,6,216.66,1,PK,Maharashtra Cricket Association Stadium,29-Apr-22
SSID0249,M054,TP0013,MS Dhoni,21,8,262.5,2,DC,DY Patil Stadium,8-May-22
SSID0250,M059,TP0013,MS Dhoni,36,33,109.09,2,MI,Wankhede Stadium,12-May-22
SSID0251,M033,TP0013,MS Dhoni,28,13,215.38,1,MI,DY Patil Stadium,21-Apr-22
SSID0252,M011,TP0013,MS Dhoni,23,28,82.14,1,PK,Brabourne,3-Apr-22
SSID0253,M068,TP0013,MS Dhoni,26,28,92.85,1,RR,Brabourne,20-May-22
SSID0254,M038,TP0013,MS Dhoni,12,8,150,1,PK,Wankhede Stadium,25-Apr-22
SSID0255,M007,TP0013,MS Dhoni,16,6,266.66,1,LSG,Brabourne,31-Mar-22
SSID0256,M001,TP0013,MS Dhoni,50,38,131.57,1,KKR,Wankhede Stadium,26-Mar-22
SSID0257,M026,TP0135,Murugan Ashwin,6,2,300,1,LSG,Brabourne,16-Apr-22
SSID0258,M045,TP0228,Nicholas Pooran,64,33,193.93,6,CSK,Maharashtra Cricket Association Stadium,1-May-22
