TeamID,TeamName,ShortName,CaptionName
T001,Chennai Super Kings,CSK,MS Dhoni
T002,Delhi Capitals,DC,Rishabh Pant
T003,Gujarat Titans,GT,Hardik Pandya
T004,Kolkata Knight Riders,KKR,Shreyas Iyer
T005,Lucknow Super Giants,LSG,KL Rahul
T006,Mumbai Indians,MI,Rohit Sharma
T007,Punjab Kings,PK,Mayank Agarwal
T008,Rajasthan Royals,RR,Sanju Samson
T009,Royal Challengers Bangalore,RCB,Faf Du Plessis
T010,Sunrisers Hyderabad,SRH,Bhuvneshwar Kumar
